Name,StartDateTime1,EndDateTime1,StartDateTime2,EndDateTime2,StartDateTime3,EndDateTime3,StartDateTime4,EndDateTime4,StartDateTime5,EndDateTime5,StartDateTime6,EndDateTime6,StartDateTime7,EndDateTime7,StartDateTime8,EndDateTime8,StartDateTime9,EndDateTime9,StartDateTime10,EndDateTime10
FR Holidays 2023,10/04/2023 00:00,11/04/2023 00:00,01/05/2023 00:00,02/05/2023 00:00,08/05/2023 00:00,09/05/2023 00:00,18/05/2023 00:00,19/05/2023 00:00,29/05/2023 00:00,30/05/2023 00:00,14/07/2023 00:00,15/07/2023 00:00,15/08/2023 00:00,16/08/2023 00:00,01/11/2023 00:00,02/11/2023 00:00,11/11/2023 00:00,12/11/2023 00:00,25/12/2023 00:00,26/12/2023 00:00
FR Holidays 2024,01/01/2024 00:00,02/01/2024 00:00,01/04/2024 00:00,02/04/2024 00:00,01/05/2024 00:00,02/05/2024 00:00,08/05/2024 00:00,10/05/2024 00:00,20/05/2024 00:00,21/05/2024 00:00,14/07/2024 00:00,15/07/2024 00:00,15/08/2024 00:00,16/08/2024 00:00,01/11/2024 00:00,02/11/2024 00:00,11/11/2024 00:00,12/11/2024 00:00,25/12/2024 00:00,26/12/2024 00:00
